site,sector,country
canadiangeographic.ca,web,CANADA
clubrunner.ca,web,CANADA
bellmedia.ca,web,CANADA
blacksun.ca,web,CANADA
parl.ca,web,CANADA
affirm.ca,web,CANADA
sheridanc.on.ca,web,CANADA
thewalrus.ca,web,CANADA
leslibraires.ca,web,CANADA
citizenlab.ca,web,CANADA
interac.ca,web,CANADA
zonerisq.ca,web,CANADA
telus.ca,web,CANADA
medallia.ca,web,CANADA
homehardware.ca,web,CANADA
remax.ca,web,CANADA
thetyee.ca,web,CANADA
athabascau.ca,web,CANADA
pf-d.ca,web,CANADA
wightman.ca,web,CANADA
primus.ca,web,CANADA
rds.ca,web,CANADA
domainsatcost.ca,web,CANADA
chl.ca,web,CANADA
carfax.ca,web,CANADA
uwinnipeg.ca,web,CANADA
olg.ca,web,CANADA
easydns.ca,web,CANADA
gov.ab.ca,web,CANADA
gettyimages.ca,web,CANADA
cafepress.ca,web,CANADA
internic.ca,web,CANADA
zsw.ca,web,CANADA
poshmark.ca,web,CANADA
zolo.ca,web,CANADA
uquebec.ca,web,CANADA
spreadshirt.ca,web,CANADA
d2cmedia.ca,web,CANADA
canada411.ca,web,CANADA
votresite.ca,web,CANADA
revenuquebec.ca,web,CANADA
vevor.ca,web,CANADA
rtss.qc.ca,web,CANADA
opentable.ca,web,CANADA
smartcanucks.ca,web,CANADA
cmha.ca,web,CANADA
penguinrandomhouse.ca,web,CANADA
uqac.ca,web,CANADA
ebgames.ca,web,CANADA
walmartimages.ca,web,CANADA
ceo.ca,web,CANADA
zohocloud.ca,web,CANADA
cargurus.ca,web,CANADA
pagesjaunes.ca,web,CANADA
webdomaine.ca,web,CANADA
petsmart.ca,web,CANADA
instacart.ca,web,CANADA
newegg.ca,web,CANADA
nrc.ca,web,CANADA
google.com.au,web,AUSTRALIA
smh.com.au,web,AUSTRALIA
unimelb.edu.au,web,AUSTRALIA
nsw.gov.au,web,AUSTRALIA
ventraip.net.au,web,AUSTRALIA
hln.be,web,BELGIUM
com.be,web,BELGIUM
geoedge.be,web,BELGIUM
google.be,web,BELGIUM
vrt.be,web,BELGIUM
cnnbrasil.com.br,web,BRAZIL
acesso.gov.br,web,BRAZIL
fazenda.gov.br,web,BRAZIL
jusbrasil.com.br,web,BRAZIL
alura.com.br,web,BRAZIL
miit.gov.cn,web,CHINA
beian.gov.cn,web,CHINA
eye4.cn,web,CHINA
zdnscloud.cn,web,CHINA
vivo.com.cn,web,CHINA
gandi-ns.fr,web,FRANCE
ouest-france.fr,web,FRANCE
vinted.fr,web,FRANCE
lequipe.fr,web,FRANCE
leboncoin.fr,web,FRANCE
rzone.de,web,GERMANY
ddnss.de,web,GERMANY
bund.de,web,GERMANY
kicker.de,web,GERMANY
zalando.de,web,GERMANY
bihar.gov.in,web,INDIA
gst.gov.in,web,INDIA
karnataka.gov.in,web,INDIA
uidai.gov.in,web,INDIA
epfindia.gov.in,web,INDIA
iiko.it,web,ITALY
kahoot.it,web,ITALY
gazzetta.it,web,ITALY
poste.it,web,ITALY
ebay.it,web,ITALY
dmm.co.jp,web,JAPAN
tbs.co.jp,web,JAPAN
itmedia.co.jp,web,JAPAN
hotpepper.jp,web,JAPAN
google.co.jp,web,JAPAN
inven.co.kr,web,KOREA
ppomppu.co.kr,web,KOREA
flic.kr,web,KOREA
gmarket.co.kr,web,KOREA
google.co.kr,web,KOREA
mercadolibre.com.mx,web,MEXICO
caliente.mx,web,MEXICO
walmart.com.mx,web,MEXICO
www.gob.mx,web,MEXICO
google.com.mx,web,MEXICO
nu.nl,web,NETHERLANDS
ad.nl,web,NETHERLANDS
marktplaats.nl,web,NETHERLANDS
deltafibernederland.nl,web,NETHERLANDS
glasvezelactiveren.nl,web,NETHERLANDS
finn.no,web,NORWAY
vg.no,web,NORWAY
dagbladet.no,web,NORWAY
google.no,web,NORWAY
nrk.no,web,NORWAY
olx.pl,web,POLAND
interia.pl,web,POLAND
mediaexpert.pl,web,POLAND
otomoto.pl,web,POLAND
librus.pl,web,POLAND
yccdn.ru,web,RUSSIA
telecid.ru,web,RUSSIA
mangosip.ru,web,RUSSIA
selectel.ru,web,RUSSIA
netangels.ru,web,RUSSIA
leroymerlin.es,web,SPAIN
eltiempo.es,web,SPAIN
xvideos.es,web,SPAIN
xnxx.es,web,SPAIN
agenciatributaria.gob.es,web,SPAIN
aftonbladet.se,web,SWEDEN
toyhou.se,web,SWEDEN
loopia.se,web,SWEDEN
haxx.se,web,SWEDEN
curl.se,web,SWEDEN
admin.ch,web,SWITZERLAND
komikindo.ch,web,SWITZERLAND
threema.ch,web,SWITZERLAND
hostpoint.ch,web,SWITZERLAND
cern.ch,web,SWITZERLAND
turkiye.gov.tr,web,TURKEY
sozcu.com.tr,web,TURKEY
google.com.tr,web,TURKEY
hurriyet.com.tr,web,TURKEY
amazon.com.tr,web,TURKEY
nominetdns.uk,web,UK
www.gov.uk,web,UK
service.gov.uk,web,UK
nic.uk,web,UK
rightmove.co.uk,web,UK
